,start,end,text,words,speaker
0,63.24,66.422, Hello and welcome to our last ever Grand Tour.,"[{'word': 'Hello', 'start': 63.24, 'end': 63.44, 'score': 0.212, 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': 63.48, 'end': 63.56, 'score': 0.236, 'speaker': 'SPEAKER_01'}, {'word': 'welcome', 'start': 63.58, 'end': 63.96, 'score': 0.908, 'speaker': 'SPEAKER_01'}, {'word': 'to', 'start': 64.161, 'end': 64.281, 'score': 0.839, 'speaker': 'SPEAKER_01'}, {'word': 'our', 'start': 64.341, 'end': 64.441, 'score': 0.918, 'speaker': 'SPEAKER_01'}, {'word': 'last', 'start': 64.541, 'end': 64.841, 'score': 0.809, 'speaker': 'SPEAKER_01'}, {'word': 'ever', 'start': 65.001, 'end': 65.241, 'score': 0.825, 'speaker': 'SPEAKER_01'}, {'word': 'Grand', 'start': 65.741, 'end': 66.002, 'score': 0.901, 'speaker': 'SPEAKER_01'}, {'word': 'Tour.', 'start': 66.062, 'end': 66.422, 'score': 0.562, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
1,67.182,74.707,"And because this is the last time that James Richard and I will ever work together, Mr Wilman said we should do something important.","[{'word': 'And', 'start': 67.182, 'end': 67.282, 'score': 0.842, 'speaker': 'SPEAKER_01'}, {'word': 'because', 'start': 67.302, 'end': 67.643, 'score': 0.872, 'speaker': 'SPEAKER_01'}, {'word': 'this', 'start': 67.683, 'end': 67.823, 'score': 0.906, 'speaker': 'SPEAKER_01'}, {'word': 'is', 'start': 67.883, 'end': 67.963, 'score': 0.688, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 68.003, 'end': 68.083, 'score': 0.834, 'speaker': 'SPEAKER_01'}, {'word': 'last', 'start': 68.123, 'end': 68.363, 'score': 0.829, 'speaker': 'SPEAKER_01'}, {'word': 'time', 'start': 68.423, 'end': 68.643, 'score': 0.936, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 68.683, 'end': 68.803, 'score': 0.781, 'speaker': 'SPEAKER_01'}, {'word': 'James', 'start': 68.863, 'end': 69.163, 'score': 0.715, 'speaker': 'SPEAKER_01'}, {'word': 'Richard', 'start': 69.223, 'end': 69.504, 'score': 0.988, 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': 69.524, 'end': 69.624, 'score': 0.663, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 69.684, 'end': 69.744, 'score': 0.718, 'speaker': 'SPEAKER_01'}, {'word': 'will', 'start': 69.764, 'end': 69.884, 'score': 0.944, 'speaker': 'SPEAKER_01'}, {'word': 'ever', 'start': 69.924, 'end': 70.064, 'score': 0.249, 'speaker': 'SPEAKER_01'}, {'word': 'work', 'start': 70.104, 'end': 70.304, 'score': 0.967, 'speaker': 'SPEAKER_01'}, {'word': 'together,', 'start': 70.344, 'end': 70.704, 'score': 0.896, 'speaker': 'SPEAKER_01'}, {'word': 'Mr', 'start': 71.245, 'end': 71.485, 'score': 0.527, 'speaker': 'SPEAKER_01'}, {'word': 'Wilman', 'start': 71.505, 'end': 71.825, 'score': 0.875, 'speaker': 'SPEAKER_01'}, {'word': 'said', 'start': 71.885, 'end': 72.125, 'score': 0.85, 'speaker': 'SPEAKER_01'}, {'word': 'we', 'start': 72.485, 'end': 72.585, 'score': 0.89, 'speaker': 'SPEAKER_01'}, {'word': 'should', 'start': 72.605, 'end': 72.805, 'score': 0.66, 'speaker': 'SPEAKER_01'}, {'word': 'do', 'start': 72.825, 'end': 73.046, 'score': 0.759, 'speaker': 'SPEAKER_01'}, {'word': 'something', 'start': 73.266, 'end': 73.646, 'score': 0.852, 'speaker': 'SPEAKER_01'}, {'word': 'important.', 'start': 74.106, 'end': 74.707, 'score': 0.957, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
2,75.507,84.852,He said we should each buy a medium-sized electric car and then see how many laps of the M25 we could do in it on one charge.,"[{'word': 'He', 'start': 75.507, 'end': 75.687, 'score': 0.862, 'speaker': 'SPEAKER_01'}, {'word': 'said', 'start': 75.787, 'end': 76.067, 'score': 0.816, 'speaker': 'SPEAKER_01'}, {'word': 'we', 'start': 76.147, 'end': 76.227, 'score': 0.982, 'speaker': 'SPEAKER_01'}, {'word': 'should', 'start': 76.267, 'end': 76.468, 'score': 0.833, 'speaker': 'SPEAKER_01'}, {'word': 'each', 'start': 76.568, 'end': 76.748, 'score': 0.93, 'speaker': 'SPEAKER_01'}, {'word': 'buy', 'start': 76.848, 'end': 77.068, 'score': 0.893, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 77.128, 'end': 77.188, 'score': 0.42, 'speaker': 'SPEAKER_01'}, {'word': 'medium-sized', 'start': 77.548, 'end': 78.389, 'score': 0.889, 'speaker': 'SPEAKER_01'}, {'word': 'electric', 'start': 78.469, 'end': 78.869, 'score': 0.938, 'speaker': 'SPEAKER_01'}, {'word': 'car', 'start': 78.909, 'end': 79.189, 'score': 0.936, 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': 79.669, 'end': 79.749, 'score': 0.881, 'speaker': 'SPEAKER_01'}, {'word': 'then', 'start': 79.769, 'end': 79.969, 'score': 0.824, 'speaker': 'SPEAKER_01'}, {'word': 'see', 'start': 80.07, 'end': 80.35, 'score': 0.938, 'speaker': 'SPEAKER_01'}, {'word': 'how', 'start': 80.73, 'end': 80.89, 'score': 0.827, 'speaker': 'SPEAKER_01'}, {'word': 'many', 'start': 80.91, 'end': 81.09, 'score': 0.883, 'speaker': 'SPEAKER_01'}, {'word': 'laps', 'start': 81.25, 'end': 81.57, 'score': 0.872, 'speaker': 'SPEAKER_01'}, {'word': 'of', 'start': 81.63, 'end': 81.71, 'score': 0.775, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 81.73, 'end': 81.811, 'score': 0.828, 'speaker': 'SPEAKER_01'}, {'word': 'M25', 'start': 81.911, 'end': 82.611, 'score': 0.49, 'speaker': 'SPEAKER_01'}, {'word': 'we', 'start': 82.651, 'end': 82.731, 'score': 0.994, 'speaker': 'SPEAKER_01'}, {'word': 'could', 'start': 82.771, 'end': 82.911, 'score': 0.812, 'speaker': 'SPEAKER_01'}, {'word': 'do', 'start': 82.951, 'end': 83.051, 'score': 1.0, 'speaker': 'SPEAKER_01'}, {'word': 'in', 'start': 83.111, 'end': 83.171, 'score': 0.754, 'speaker': 'SPEAKER_01'}, {'word': 'it', 'start': 83.251, 'end': 83.331, 'score': 0.83, 'speaker': 'SPEAKER_01'}, {'word': 'on', 'start': 83.792, 'end': 83.892, 'score': 0.802, 'speaker': 'SPEAKER_01'}, {'word': 'one', 'start': 84.032, 'end': 84.212, 'score': 0.911, 'speaker': 'SPEAKER_01'}, {'word': 'charge.', 'start': 84.312, 'end': 84.852, 'score': 0.886, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
3,86.393,89.415,And we decided to ignore him and come here.,"[{'word': 'And', 'start': 86.393, 'end': 86.473, 'score': 0.889, 'speaker': 'SPEAKER_01'}, {'word': 'we', 'start': 86.493, 'end': 86.613, 'score': 0.874, 'speaker': 'SPEAKER_01'}, {'word': 'decided', 'start': 86.633, 'end': 87.033, 'score': 0.864, 'speaker': 'SPEAKER_01'}, {'word': 'to', 'start': 87.053, 'end': 87.134, 'score': 0.751, 'speaker': 'SPEAKER_01'}, {'word': 'ignore', 'start': 87.174, 'end': 87.534, 'score': 0.873, 'speaker': 'SPEAKER_01'}, {'word': 'him', 'start': 87.574, 'end': 87.674, 'score': 0.795, 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': 88.754, 'end': 88.834, 'score': 0.84, 'speaker': 'SPEAKER_01'}, {'word': 'come', 'start': 88.895, 'end': 89.135, 'score': 0.81, 'speaker': 'SPEAKER_01'}, {'word': 'here.', 'start': 89.175, 'end': 89.415, 'score': 0.828, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
4,104.378,107.662," Yes, so welcome everyone to Zimbabwe.","[{'word': 'Yes,', 'start': 104.378, 'end': 104.578, 'score': 0.629, 'speaker': 'SPEAKER_03'}, {'word': 'so', 'start': 105.059, 'end': 105.199, 'score': 0.643, 'speaker': 'SPEAKER_03'}, {'word': 'welcome', 'start': 105.259, 'end': 105.78, 'score': 0.445, 'speaker': 'SPEAKER_03'}, {'word': 'everyone', 'start': 105.86, 'end': 106.12, 'score': 0.298, 'speaker': 'SPEAKER_03'}, {'word': 'to', 'start': 106.661, 'end': 106.841, 'score': 0.672, 'speaker': 'SPEAKER_03'}, {'word': 'Zimbabwe.', 'start': 106.921, 'end': 107.662, 'score': 0.565, 'speaker': 'SPEAKER_03'}]",SPEAKER_03
5,120.803,123.445, And we won't be driving crummy electric cars either.,"[{'word': 'And', 'start': 120.803, 'end': 120.903, 'score': 0.561, 'speaker': 'SPEAKER_01'}, {'word': 'we', 'start': 120.923, 'end': 121.023, 'score': 0.814, 'speaker': 'SPEAKER_01'}, {'word': ""won't"", 'start': 121.043, 'end': 121.183, 'score': 0.547, 'speaker': 'SPEAKER_01'}, {'word': 'be', 'start': 121.203, 'end': 121.284, 'score': 0.789, 'speaker': 'SPEAKER_01'}, {'word': 'driving', 'start': 121.304, 'end': 121.664, 'score': 0.809, 'speaker': 'SPEAKER_01'}, {'word': 'crummy', 'start': 121.684, 'end': 122.264, 'score': 0.873, 'speaker': 'SPEAKER_01'}, {'word': 'electric', 'start': 122.304, 'end': 122.744, 'score': 0.957, 'speaker': 'SPEAKER_01'}, {'word': 'cars', 'start': 122.784, 'end': 123.085, 'score': 0.853, 'speaker': 'SPEAKER_01'}, {'word': 'either.', 'start': 123.185, 'end': 123.445, 'score': 0.847, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
6,123.645,128.868,"Instead, the three of us decided that we would simply buy things we've always wanted.","[{'word': 'Instead,', 'start': 123.645, 'end': 124.125, 'score': 0.867, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 124.145, 'end': 124.205, 'score': 0.952, 'speaker': 'SPEAKER_01'}, {'word': 'three', 'start': 124.245, 'end': 124.426, 'score': 0.801, 'speaker': 'SPEAKER_01'}, {'word': 'of', 'start': 124.446, 'end': 124.506, 'score': 0.762, 'speaker': 'SPEAKER_01'}, {'word': 'us', 'start': 124.566, 'end': 124.646, 'score': 0.574, 'speaker': 'SPEAKER_01'}, {'word': 'decided', 'start': 124.686, 'end': 125.166, 'score': 0.932, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 125.206, 'end': 125.326, 'score': 0.911, 'speaker': 'SPEAKER_01'}, {'word': 'we', 'start': 125.366, 'end': 125.466, 'score': 0.934, 'speaker': 'SPEAKER_01'}, {'word': 'would', 'start': 125.506, 'end': 125.646, 'score': 0.92, 'speaker': 'SPEAKER_01'}, {'word': 'simply', 'start': 125.686, 'end': 126.027, 'score': 0.919, 'speaker': 'SPEAKER_01'}, {'word': 'buy', 'start': 126.107, 'end': 126.447, 'score': 0.772, 'speaker': 'SPEAKER_01'}, {'word': 'things', 'start': 127.027, 'end': 127.307, 'score': 0.983, 'speaker': 'SPEAKER_01'}, {'word': ""we've"", 'start': 127.367, 'end': 127.588, 'score': 0.917, 'speaker': 'SPEAKER_01'}, {'word': 'always', 'start': 127.768, 'end': 128.228, 'score': 0.864, 'speaker': 'SPEAKER_01'}, {'word': 'wanted.', 'start': 128.328, 'end': 128.868, 'score': 0.876, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
7,129.829,131.13,And that's why I bought this.,"[{'word': 'And', 'start': 129.829, 'end': 129.929, 'score': 0.786, 'speaker': 'SPEAKER_01'}, {'word': ""that's"", 'start': 129.969, 'end': 130.169, 'score': 0.885, 'speaker': 'SPEAKER_01'}, {'word': 'why', 'start': 130.209, 'end': 130.369, 'score': 0.887, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 130.429, 'end': 130.55, 'score': 0.796, 'speaker': 'SPEAKER_01'}, {'word': 'bought', 'start': 130.59, 'end': 130.77, 'score': 0.336, 'speaker': 'SPEAKER_01'}, {'word': 'this.', 'start': 130.83, 'end': 131.13, 'score': 0.79, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
8,131.75,133.872,It's a Triumph Stag.,"[{'word': ""It's"", 'start': 131.75, 'end': 131.89, 'score': 0.77, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 132.291, 'end': 132.391, 'score': 0.574, 'speaker': 'SPEAKER_01'}, {'word': 'Triumph', 'start': 132.551, 'end': 133.111, 'score': 0.899, 'speaker': 'SPEAKER_01'}, {'word': 'Stag.', 'start': 133.371, 'end': 133.872, 'score': 0.852, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
9,156.377,157.558, I've always loved the Stag.,"[{'word': ""I've"", 'start': 156.377, 'end': 156.497, 'score': 0.862, 'speaker': 'SPEAKER_01'}, {'word': 'always', 'start': 156.537, 'end': 156.777, 'score': 0.875, 'speaker': 'SPEAKER_01'}, {'word': 'loved', 'start': 156.837, 'end': 157.037, 'score': 0.808, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 157.077, 'end': 157.177, 'score': 0.833, 'speaker': 'SPEAKER_01'}, {'word': 'Stag.', 'start': 157.217, 'end': 157.558, 'score': 0.833, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
