start	end	text
349	609	And welcome!
749	1690	Thank you very much.
3070	7893	Now, as you know, the producers on this show like to give us challenges.
8193	11874	Specifically, where they give us a very small amount of money and tell us to buy a used car.
12195	17257	Then they set unbelievably hard tasks to do to see which one of us got the best deal.
17517	17697	Yeah.
18137	21599	This week, for a Top Gear special, they came up with a real humdinger.
22019	28082	They gave each of us 1,500 quid and told us to go to Africa and buy a car.
28722	30424	Yeah, there were just two conditions.
30764	35609	It mustn't be four-wheel drive and it mustn't be built in any way to go off-road.
41374	45778	The meeting point was the border post between Zimbabwe and Botswana.
46579	49322	And, for once, I was the first to arrive.
52668	55016	Now, as you'd expect, I've done this properly.
55096	57162	What I've got is a 1985 Mercedes-Benz 230e, a car that...
