start	end	text
63240	66422	Hello and welcome to our last ever Grand Tour.
67182	74707	And because this is the last time that James Richard and I will ever work together, Mr Wilman said we should do something important.
75507	84852	He said we should each buy a medium-sized electric car and then see how many laps of the M25 we could do in it on one charge.
86393	89415	And we decided to ignore him and come here.
104378	107662	Yes, so welcome everyone to Zimbabwe.
120803	123445	And we won't be driving crummy electric cars either.
123645	128868	Instead, the three of us decided that we would simply buy things we've always wanted.
129829	131130	And that's why I bought this.
131750	133872	It's a Triumph Stag.
156377	157558	I've always loved the Stag.
158038	160319	I've loved it since I was a small boy.
161019	162840	But I never actually thought I'd own one.
162900	165862	To be honest, I didn't think I was allowed to own one.
166222	169263	Only people like David Niven could own a Stag.
169844	173906	I'd never even driven one, in accordance with the rule that you should never meet your hero.
174366	178928	But now I have, I'm delighted to say, it's absolutely lovely.
178948	182170	Oh, yeah.
183306	187810	At this point, Lewis Collins arrived.
187910	190953	Oh, yeah.
192974	193735	Yep.
194536	198579	I am now the proud owner of a three-litre Mark I Ford Capri.
198599	200901	Is it a GT?
201102	202002	No, GXL.
202803	203784	Why didn't you get a GT?
203804	204765	Because this is better.
205465	206006	Not really.
206907	210450	Before I had a chance to argue, Clarkson arrived.
211144	213366	having already made a mistake.
220591	221752	Look at that!
222233	223774	Why have you bought a Lancia?
224354	231740	Because 20 or so years ago, I used one to drive across Botswana and proved it was the ideal car for Africa.
231760	233742	But it broke down all the time.
234554	238058	Yes, it did, but that was front engine.
238618	240160	This, mid-engined.
240200	241301	It's a Monte Carlo.
242002	245465	And I've made several modifications to suit the conditions.
245565	246786	Let me talk you through them, if I may.
247807	248909	At the back here...
250818	252519	308 Ferrari taillights.
252679	253160	They look good.
253540	254341	Quad tailpipes.
255161	255442	I see.
255702	264109	Delta Integrale wheels, Delta Integrale headlamps and grille, and then Lotus blue paintwork.
264750	265010	Wow.
265050	266591	Does any of that make it more reliable?
267232	271115	And, you know, we've been doing this for... 112 years.
271135	271615	Yeah, 112 years.
272236	273177	I've learned a few lessons.
