,start,end,text,words,speaker,cleaned_text,tokens,lemmatized_tokens
0,21.467,23.068," Hello, hello, and welcome.","[{'word': 'Hello,', 'start': 21.467, 'end': 21.587, 'score': 0.117, 'speaker': 'SPEAKER_05'}, {'word': 'hello,', 'start': 21.968, 'end': 22.708, 'score': 0.455, 'speaker': 'SPEAKER_04'}, {'word': 'and', 'start': 22.828, 'end': 22.888, 'score': 0.017, 'speaker': 'SPEAKER_04'}, {'word': 'welcome.', 'start': 22.908, 'end': 23.068, 'score': 0.067, 'speaker': 'SPEAKER_04'}]",Clarkson, hello hello and welcome,"['hello', 'hello', 'welcome']",[]
1,23.108,24.029,Thank you very much.,"[{'word': 'Thank', 'start': 23.108, 'end': 23.249, 'score': 0.137, 'speaker': 'SPEAKER_05'}, {'word': 'you', 'start': 23.449, 'end': 23.529, 'score': 0.152, 'speaker': 'SPEAKER_05'}, {'word': 'very', 'start': 23.609, 'end': 23.709, 'score': 0.11, 'speaker': 'SPEAKER_05'}, {'word': 'much.', 'start': 23.809, 'end': 24.029, 'score': 0.358, 'speaker': 'SPEAKER_05'}]",Clarkson,thank you very much,"['thank', 'much']","['thank', 'much']"
2,24.049,34.256,"Now, as you know, the producers on this show like to give us challenges, specifically where they give us a very small amount of money and tell us to buy a used car.","[{'word': 'Now,', 'start': 24.049, 'end': 24.109, 'score': 0.0, 'speaker': 'SPEAKER_05'}, {'word': 'as', 'start': 25.61, 'end': 25.69, 'score': 0.505, 'speaker': 'SPEAKER_05'}, {'word': 'you', 'start': 25.77, 'end': 25.85, 'score': 0.164, 'speaker': 'SPEAKER_05'}, {'word': 'know,', 'start': 25.91, 'end': 26.151, 'score': 0.447, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 27.452, 'end': 27.592, 'score': 0.703, 'speaker': 'SPEAKER_05'}, {'word': 'producers', 'start': 27.612, 'end': 28.192, 'score': 0.799, 'speaker': 'SPEAKER_05'}, {'word': 'on', 'start': 28.272, 'end': 28.392, 'score': 0.831, 'speaker': 'SPEAKER_05'}, {'word': 'this', 'start': 28.412, 'end': 28.612, 'score': 0.594, 'speaker': 'SPEAKER_05'}, {'word': 'show', 'start': 28.632, 'end': 28.913, 'score': 0.94, 'speaker': 'SPEAKER_05'}, {'word': 'like', 'start': 28.953, 'end': 29.193, 'score': 0.897, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 29.213, 'end': 29.313, 'score': 0.962, 'speaker': 'SPEAKER_05'}, {'word': 'give', 'start': 29.353, 'end': 29.533, 'score': 0.813, 'speaker': 'SPEAKER_05'}, {'word': 'us', 'start': 29.573, 'end': 29.673, 'score': 0.651, 'speaker': 'SPEAKER_05'}, {'word': 'challenges,', 'start': 29.753, 'end': 30.294, 'score': 0.836, 'speaker': 'SPEAKER_05'}, {'word': 'specifically', 'start': 30.574, 'end': 31.114, 'score': 0.868, 'speaker': 'SPEAKER_05'}, {'word': 'where', 'start': 31.134, 'end': 31.254, 'score': 0.815, 'speaker': 'SPEAKER_05'}, {'word': 'they', 'start': 31.274, 'end': 31.394, 'score': 0.913, 'speaker': 'SPEAKER_05'}, {'word': 'give', 'start': 31.414, 'end': 31.514, 'score': 0.995, 'speaker': 'SPEAKER_05'}, {'word': 'us', 'start': 31.554, 'end': 31.634, 'score': 0.72, 'speaker': 'SPEAKER_05'}, {'word': 'a', 'start': 31.654, 'end': 31.674, 'score': 0.888, 'speaker': 'SPEAKER_05'}, {'word': 'very', 'start': 31.715, 'end': 31.895, 'score': 0.91, 'speaker': 'SPEAKER_05'}, {'word': 'small', 'start': 31.955, 'end': 32.275, 'score': 0.911, 'speaker': 'SPEAKER_05'}, {'word': 'amount', 'start': 32.315, 'end': 32.535, 'score': 0.805, 'speaker': 'SPEAKER_05'}, {'word': 'of', 'start': 32.575, 'end': 32.615, 'score': 0.998, 'speaker': 'SPEAKER_05'}, {'word': 'money', 'start': 32.655, 'end': 32.835, 'score': 0.899, 'speaker': 'SPEAKER_05'}, {'word': 'and', 'start': 32.895, 'end': 32.975, 'score': 0.889, 'speaker': 'SPEAKER_05'}, {'word': 'tell', 'start': 32.995, 'end': 33.156, 'score': 0.862, 'speaker': 'SPEAKER_05'}, {'word': 'us', 'start': 33.196, 'end': 33.256, 'score': 0.786, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 33.296, 'end': 33.376, 'score': 0.756, 'speaker': 'SPEAKER_05'}, {'word': 'buy', 'start': 33.416, 'end': 33.616, 'score': 0.691, 'speaker': 'SPEAKER_05'}, {'word': 'a', 'start': 33.636, 'end': 33.656, 'score': 0.034, 'speaker': 'SPEAKER_05'}, {'word': 'used', 'start': 33.796, 'end': 33.936, 'score': 0.656, 'speaker': 'SPEAKER_05'}, {'word': 'car.', 'start': 34.016, 'end': 34.256, 'score': 0.964, 'speaker': 'SPEAKER_05'}]",Clarkson,now as you know the producers on this show like to give us challenges specifically where they give us a very small amount of money and tell us to buy a used car,"['know', 'producers', 'show', 'like', 'give', 'us', 'challenges', 'specifically', 'give', 'us', 'small', 'amount', 'money', 'tell', 'us', 'buy', 'used', 'car']","['know', 'producer', 'show', 'give', 'challenge', 'specifically', 'give', 'small', 'amount', 'money', 'tell', 'buy', 'use', 'car']"
3,34.597,39.64,Then they set unbelievably hard tasks to do to see which one of us got the best deal.,"[{'word': 'Then', 'start': 34.597, 'end': 34.737, 'score': 0.922, 'speaker': 'SPEAKER_05'}, {'word': 'they', 'start': 34.777, 'end': 34.917, 'score': 0.945, 'speaker': 'SPEAKER_05'}, {'word': 'set', 'start': 34.977, 'end': 35.337, 'score': 0.663, 'speaker': 'SPEAKER_05'}, {'word': 'unbelievably', 'start': 35.637, 'end': 36.338, 'score': 0.874, 'speaker': 'SPEAKER_05'}, {'word': 'hard', 'start': 36.398, 'end': 36.618, 'score': 0.927, 'speaker': 'SPEAKER_05'}, {'word': 'tasks', 'start': 36.698, 'end': 37.118, 'score': 0.841, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 37.178, 'end': 37.278, 'score': 0.672, 'speaker': 'SPEAKER_05'}, {'word': 'do', 'start': 37.298, 'end': 37.439, 'score': 0.974, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 37.479, 'end': 37.559, 'score': 0.978, 'speaker': 'SPEAKER_05'}, {'word': 'see', 'start': 37.599, 'end': 37.739, 'score': 0.996, 'speaker': 'SPEAKER_05'}, {'word': 'which', 'start': 37.779, 'end': 37.959, 'score': 0.933, 'speaker': 'SPEAKER_05'}, {'word': 'one', 'start': 38.039, 'end': 38.139, 'score': 0.841, 'speaker': 'SPEAKER_05'}, {'word': 'of', 'start': 38.159, 'end': 38.199, 'score': 0.996, 'speaker': 'SPEAKER_05'}, {'word': 'us', 'start': 38.259, 'end': 38.339, 'score': 0.816, 'speaker': 'SPEAKER_05'}, {'word': 'got', 'start': 38.679, 'end': 38.84, 'score': 0.735, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 38.88, 'end': 38.94, 'score': 0.995, 'speaker': 'SPEAKER_05'}, {'word': 'best', 'start': 38.98, 'end': 39.22, 'score': 0.778, 'speaker': 'SPEAKER_05'}, {'word': 'deal.', 'start': 39.32, 'end': 39.64, 'score': 0.811, 'speaker': 'SPEAKER_05'}]",Clarkson,then they set unbelievably hard tasks to do to see which one of us got the best deal,"['set', 'unbelievably', 'hard', 'tasks', 'see', 'one', 'us', 'got', 'best', 'deal']","['set', 'unbelievably', 'hard', 'task', 'see', 'get', 'good', 'deal']"
4,39.9,40.08,Yeah.,"[{'word': 'Yeah.', 'start': 39.9, 'end': 40.08, 'score': 0.568, 'speaker': 'SPEAKER_06'}]",Hammond,yeah,['yeah'],[]
5,40.541,44.043,"This week, for a Top Gear special, they came up with a real humdinger.","[{'word': 'This', 'start': 40.541, 'end': 40.741, 'score': 0.762, 'speaker': 'SPEAKER_06'}, {'word': 'week,', 'start': 40.821, 'end': 41.041, 'score': 0.933, 'speaker': 'SPEAKER_06'}, {'word': 'for', 'start': 41.081, 'end': 41.221, 'score': 0.751, 'speaker': 'SPEAKER_06'}, {'word': 'a', 'start': 41.261, 'end': 41.301, 'score': 0.803, 'speaker': 'SPEAKER_06'}, {'word': 'Top', 'start': 41.381, 'end': 41.622, 'score': 0.944, 'speaker': 'SPEAKER_06'}, {'word': 'Gear', 'start': 41.642, 'end': 41.842, 'score': 0.41, 'speaker': 'SPEAKER_06'}, {'word': 'special,', 'start': 41.902, 'end': 42.362, 'score': 0.905, 'speaker': 'SPEAKER_06'}, {'word': 'they', 'start': 42.402, 'end': 42.542, 'score': 0.912, 'speaker': 'SPEAKER_06'}, {'word': 'came', 'start': 42.562, 'end': 42.742, 'score': 0.855, 'speaker': 'SPEAKER_06'}, {'word': 'up', 'start': 42.782, 'end': 42.862, 'score': 0.698, 'speaker': 'SPEAKER_06'}, {'word': 'with', 'start': 42.882, 'end': 43.002, 'score': 0.87, 'speaker': 'SPEAKER_06'}, {'word': 'a', 'start': 43.022, 'end': 43.063, 'score': 0.695, 'speaker': 'SPEAKER_06'}, {'word': 'real', 'start': 43.123, 'end': 43.343, 'score': 0.964, 'speaker': 'SPEAKER_06'}, {'word': 'humdinger.', 'start': 43.423, 'end': 44.043, 'score': 0.739, 'speaker': 'SPEAKER_06'}]",Hammond,this week for a top gear special they came up with a real humdinger,"['week', 'top', 'gear', 'special', 'came', 'real', 'humdinger']","['week', 'top', 'gear', 'special', 'come', 'real', 'humdinger']"
6,44.423,50.408,"They gave each of us 1,500 quid and told us to go to Africa and buy a car.","[{'word': 'They', 'start': 44.423, 'end': 44.544, 'score': 0.878, 'speaker': 'SPEAKER_06'}, {'word': 'gave', 'start': 44.584, 'end': 44.724, 'score': 0.911, 'speaker': 'SPEAKER_06'}, {'word': 'each', 'start': 44.784, 'end': 44.944, 'score': 0.711, 'speaker': 'SPEAKER_06'}, {'word': 'of', 'start': 44.984, 'end': 45.024, 'score': 0.998, 'speaker': 'SPEAKER_06'}, {'word': 'us', 'start': 45.124, 'end': 45.204, 'score': 0.716, 'speaker': 'SPEAKER_06'}, {'word': '1,500'}, {'word': 'quid', 'start': 46.365, 'end': 46.625, 'score': 0.913, 'speaker': 'SPEAKER_06'}, {'word': 'and', 'start': 47.005, 'end': 47.085, 'score': 0.915, 'speaker': 'SPEAKER_06'}, {'word': 'told', 'start': 47.145, 'end': 47.366, 'score': 0.744, 'speaker': 'SPEAKER_06'}, {'word': 'us', 'start': 47.426, 'end': 47.506, 'score': 0.68, 'speaker': 'SPEAKER_06'}, {'word': 'to', 'start': 47.546, 'end': 47.626, 'score': 0.841, 'speaker': 'SPEAKER_06'}, {'word': 'go', 'start': 47.686, 'end': 47.886, 'score': 0.863, 'speaker': 'SPEAKER_06'}, {'word': 'to', 'start': 48.366, 'end': 48.466, 'score': 0.92, 'speaker': 'SPEAKER_06'}, {'word': 'Africa', 'start': 48.566, 'end': 49.027, 'score': 0.89, 'speaker': 'SPEAKER_06'}, {'word': 'and', 'start': 49.627, 'end': 49.727, 'score': 0.864, 'speaker': 'SPEAKER_06'}, {'word': 'buy', 'start': 49.807, 'end': 50.027, 'score': 0.841, 'speaker': 'SPEAKER_06'}, {'word': 'a', 'start': 50.047, 'end': 50.107, 'score': 0.653, 'speaker': 'SPEAKER_06'}, {'word': 'car.', 'start': 50.228, 'end': 50.408, 'score': 0.464, 'speaker': 'SPEAKER_03'}]",Hammond,they gave each of us  quid and told us to go to africa and buy a car,"['gave', 'us', 'quid', 'told', 'us', 'go', 'africa', 'buy', 'car']","['give', 'quid', 'tell', 'go', 'buy', 'car']"
7,51.108,52.829," Yeah, there were just two conditions.","[{'word': 'Yeah,', 'start': 51.108, 'end': 51.328, 'score': 0.407, 'speaker': 'SPEAKER_03'}, {'word': 'there', 'start': 51.388, 'end': 51.508, 'score': 0.909, 'speaker': 'SPEAKER_03'}, {'word': 'were', 'start': 51.528, 'end': 51.628, 'score': 0.899, 'speaker': 'SPEAKER_03'}, {'word': 'just', 'start': 51.668, 'end': 51.828, 'score': 0.643, 'speaker': 'SPEAKER_03'}, {'word': 'two', 'start': 52.048, 'end': 52.228, 'score': 0.737, 'speaker': 'SPEAKER_03'}, {'word': 'conditions.', 'start': 52.268, 'end': 52.829, 'score': 0.825, 'speaker': 'SPEAKER_03'}]",May, yeah there were just two conditions,"['yeah', 'two', 'conditions']",['condition']
8,53.149,57.99,"It mustn't be four-wheel drive, and it mustn't be built in any way to go off-road.","[{'word': 'It', 'start': 53.149, 'end': 53.229, 'score': 0.82, 'speaker': 'SPEAKER_03'}, {'word': ""mustn't"", 'start': 53.309, 'end': 53.609, 'score': 0.845, 'speaker': 'SPEAKER_03'}, {'word': 'be', 'start': 53.649, 'end': 53.769, 'score': 0.831, 'speaker': 'SPEAKER_03'}, {'word': 'four-wheel', 'start': 53.889, 'end': 54.269, 'score': 0.666, 'speaker': 'SPEAKER_03'}, {'word': 'drive,', 'start': 54.289, 'end': 54.629, 'score': 0.749, 'speaker': 'SPEAKER_03'}, {'word': 'and', 'start': 55.029, 'end': 55.109, 'score': 0.929, 'speaker': 'SPEAKER_03'}, {'word': 'it', 'start': 55.149, 'end': 55.189, 'score': 0.998, 'speaker': 'SPEAKER_03'}, {'word': ""mustn't"", 'start': 55.229, 'end': 55.49, 'score': 0.853, 'speaker': 'SPEAKER_03'}, {'word': 'be', 'start': 55.53, 'end': 55.63, 'score': 0.738, 'speaker': 'SPEAKER_03'}, {'word': 'built', 'start': 55.69, 'end': 55.93, 'score': 0.739, 'speaker': 'SPEAKER_03'}, {'word': 'in', 'start': 56.01, 'end': 56.07, 'score': 0.774, 'speaker': 'SPEAKER_03'}, {'word': 'any', 'start': 56.29, 'end': 56.43, 'score': 0.712, 'speaker': 'SPEAKER_03'}, {'word': 'way', 'start': 56.49, 'end': 56.71, 'score': 0.829, 'speaker': 'SPEAKER_03'}, {'word': 'to', 'start': 57.05, 'end': 57.15, 'score': 0.762, 'speaker': 'SPEAKER_03'}, {'word': 'go', 'start': 57.19, 'end': 57.37, 'score': 0.864, 'speaker': 'SPEAKER_03'}, {'word': 'off-road.', 'start': 57.47, 'end': 57.99, 'score': 0.862, 'speaker': 'SPEAKER_03'}]",May,it mustnt be fourwheel drive and it mustnt be built in any way to go offroad,"['mustnt', 'fourwheel', 'drive', 'mustnt', 'built', 'way', 'go', 'offroad']","['fourwheel', 'drive', 'build', 'way', 'go', 'offroad']"
9,63.772,68.174,The meeting point was the border post between Zimbabwe and Botswana.,"[{'word': 'The', 'start': 63.772, 'end': 63.872, 'score': 0.709, 'speaker': 'SPEAKER_03'}, {'word': 'meeting', 'start': 63.892, 'end': 64.232, 'score': 0.858, 'speaker': 'SPEAKER_03'}, {'word': 'point', 'start': 64.292, 'end': 64.572, 'score': 0.804, 'speaker': 'SPEAKER_03'}, {'word': 'was', 'start': 64.633, 'end': 64.773, 'score': 0.856, 'speaker': 'SPEAKER_03'}, {'word': 'the', 'start': 64.813, 'end': 64.913, 'score': 0.667, 'speaker': 'SPEAKER_03'}, {'word': 'border', 'start': 64.973, 'end': 65.293, 'score': 0.881, 'speaker': 'SPEAKER_03'}, {'word': 'post', 'start': 65.333, 'end': 65.633, 'score': 0.974, 'speaker': 'SPEAKER_03'}, {'word': 'between', 'start': 65.713, 'end': 66.093, 'score': 0.792, 'speaker': 'SPEAKER_03'}, {'word': 'Zimbabwe', 'start': 66.153, 'end': 66.893, 'score': 0.871, 'speaker': 'SPEAKER_03'}, {'word': 'and', 'start': 67.213, 'end': 67.293, 'score': 0.953, 'speaker': 'SPEAKER_03'}, {'word': 'Botswana.', 'start': 67.373, 'end': 68.174, 'score': 0.894, 'speaker': 'SPEAKER_03'}]",May,the meeting point was the border post between zimbabwe and botswana,"['meeting', 'point', 'border', 'post', 'zimbabwe', 'botswana']","['meet', 'point', 'border', 'post', 'botswana']"
